iter	MultiClass
0	1.069445182
1	1.047978863
2	1.021846628
3	1.001497594
4	0.9731643894
5	0.9492145097
6	0.9244662251
7	0.9036396782
8	0.8835664555
9	0.8631870518
10	0.8441261948
11	0.8273966448
12	0.813553188
13	0.8000657167
14	0.7820743023
15	0.7662126576
16	0.7514717249
17	0.7381796724
18	0.7267169708
19	0.7149318271
20	0.7023895339
21	0.689872812
22	0.680387955
23	0.672250274
24	0.6629160677
25	0.6567559655
26	0.6493288614
27	0.6384901803
28	0.6265449659
29	0.6183193765
30	0.6100423836
31	0.6009688794
32	0.5952285819
33	0.5886824559
34	0.5830906919
35	0.575110734
36	0.5673519065
37	0.558262591
38	0.5508715383
39	0.5448396564
40	0.5380094705
41	0.5288578486
42	0.524872095
43	0.5204444643
44	0.5132823377
45	0.507264655
46	0.5015324963
47	0.4954596767
48	0.4884308482
49	0.4820212629
50	0.4752194054
51	0.471180194
52	0.4660758358
53	0.4614226734
54	0.4548215806
55	0.4478695426
56	0.4432762175
57	0.438674059
58	0.434051022
59	0.4285157814
60	0.4243396243
61	0.4217757056
62	0.4164067853
63	0.4141069164
64	0.4096502107
65	0.4073666982
66	0.4016661781
67	0.3965911649
68	0.3923009767
69	0.3880769717
70	0.3839111939
71	0.3807927526
72	0.3762831749
73	0.3726527321
74	0.3664604919
75	0.3629549369
76	0.3588423181
77	0.3548854986
78	0.3514620857
79	0.3495039669
80	0.346079113
81	0.3416066872
82	0.3379989814
83	0.3343966968
84	0.3310014997
85	0.3267582499
86	0.3238714785
87	0.3207499558
88	0.3175510758
89	0.3150806078
90	0.3114123739
91	0.3092819481
92	0.3067272689
93	0.3036534047
94	0.3005040901
95	0.2973273567
96	0.2955160945
97	0.2933331265
98	0.2918924175
99	0.2895437963
100	0.2861621248
101	0.2840105821
102	0.2802258417
103	0.2791242305
104	0.2771766035
105	0.2741854131
106	0.2720965919
107	0.26908247
108	0.2665134822
109	0.2638847672
110	0.2615854617
111	0.2588033367
112	0.2556991286
113	0.2541565545
114	0.2522564485
115	0.250577055
116	0.2483291176
117	0.2460700044
118	0.2435764255
119	0.2407920868
120	0.238744609
121	0.236518387
122	0.2338553776
123	0.2316645342
124	0.2292492033
125	0.2272415169
126	0.225570387
127	0.2236059532
128	0.221705758
129	0.2212031095
130	0.2186828434
131	0.2170816763
132	0.2147965344
133	0.2133379886
134	0.2113554469
135	0.2092175837
136	0.2071321063
137	0.2061415024
138	0.2045265321
139	0.2026531914
